S1,action,reward,S2
"[0.11, 0, 0.008333333333333246, 2.1250000000000013, False]",2,0.0,"[0.12, 0, -0.19166666666666676, 1.6250000000000013, False]"
"[0.12, 0, -0.19166666666666676, 1.6250000000000013, False]",2,0.0,"[0.26, 0, -0.3916666666666668, 1.1250000000000013, False]"
"[0.26, 0, -0.3916666666666668, 1.1250000000000013, False]",3,0.0,"[0.12, 0, -0.19166666666666676, 1.6250000000000013, False]"
"[0.12, 0, -0.19166666666666676, 1.6250000000000013, False]",1,0.0,"[0.19, 0, -0.2000000000000001, 1.604166666666668, False]"
"[0.19, 0, -0.2000000000000001, 1.604166666666668, False]",4,0.0,"[0.19, 1, -0.2000000000000001, 1.604166666666668, False]"
"[0.19, 1, -0.2000000000000001, 1.604166666666668, False]",0,0.0,"[0.01, 1, -0.2000000000000001, 1.6250000000000013, False]"
"[0.01, 1, -0.2000000000000001, 1.6250000000000013, False]",2,0.2,"[0.05, 1, -0.2000000000000001, 1.1250000000000013, False]"
"[0.05, 1, -0.2000000000000001, 1.1250000000000013, False]",2,0.2,"[0.05, 1, -0.2000000000000001, 0.6250000000000013, False]"
"[0.05, 1, -0.2000000000000001, 0.6250000000000013, False]",0,0.0,"[0.04, 1, -0.2000000000000001, 0.6458333333333347, False]"
"[0.04, 1, -0.2000000000000001, 0.6458333333333347, False]",1,0.0,"[0.05, 1, -0.2000000000000001, 0.6250000000000013, False]"
"[0.05, 1, -0.2000000000000001, 0.6250000000000013, False]",0,0.0,"[0.04, 1, -0.2000000000000001, 0.6458333333333347, False]"
"[0.04, 1, -0.2000000000000001, 0.6458333333333347, False]",1,0.0,"[0.05, 1, -0.2000000000000001, 0.6250000000000013, False]"
"[0.05, 1, -0.2000000000000001, 0.6250000000000013, False]",2,0.0,"[0.05, 1, -0.2000000000000001, 0.12500000000000133, False]"
"[0.05, 1, -0.2000000000000001, 0.12500000000000133, False]",2,0.0,"[0.05, 1, -0.2000000000000001, -0.37499999999999867, False]"
"[0.05, 1, -0.2000000000000001, -0.37499999999999867, False]",3,0.0,"[0.01, 1, -0.2000000000000001, 0.12500000000000133, False]"
"[0.01, 1, -0.2000000000000001, 0.12500000000000133, False]",2,0.0,"[0.05, 1, -0.2000000000000001, -0.37499999999999867, False]"
"[0.05, 1, -0.2000000000000001, -0.37499999999999867, False]",3,0.0,"[0.01, 1, -0.2000000000000001, 0.12500000000000133, False]"
"[0.01, 1, -0.2000000000000001, 0.12500000000000133, False]",1,0.0,"[0.02, 1, -0.2000000000000001, 0.104166666666668, False]"
"[0.02, 1, -0.2000000000000001, 0.104166666666668, False]",0,0.0,"[0.01, 1, -0.2000000000000001, 0.12500000000000133, False]"
"[0.01, 1, -0.2000000000000001, 0.12500000000000133, False]",2,0.0,"[0.05, 1, -0.2000000000000001, -0.37499999999999867, False]"
"[0.05, 1, -0.2000000000000001, -0.37499999999999867, False]",1,0.0,"[0.05, 1, -0.2000000000000001, -0.395833333333332, False]"
"[0.05, 1, -0.2000000000000001, -0.395833333333332, False]",2,0.0,"[0.05, 1, -0.2000000000000001, -0.8958333333333319, False]"
"[0.05, 1, -0.2000000000000001, -0.8958333333333319, False]",2,0.0,"[0.05, 1, -0.2000000000000001, -1.395833333333332, False]"
"[0.05, 1, -0.2000000000000001, -1.395833333333332, False]",4,0.0,"[0.05, 0, -0.2000000000000001, -1.395833333333332, False]"
"[0.05, 0, -0.2000000000000001, -1.395833333333332, False]",3,0.0,"[0.13, 0, -8.326672684688674e-17, -0.8958333333333319, False]"
"[0.13, 0, -8.326672684688674e-17, -0.8958333333333319, False]",0,0.76,"[0.12, 0, 0.00833333333333325, -0.8749999999999986, False]"
"[0.12, 0, 0.00833333333333325, -0.8749999999999986, False]",4,0.0,"[0.12, 1, 0.00833333333333325, -0.8749999999999986, False]"
"[0.12, 1, 0.00833333333333325, -0.8749999999999986, False]",2,0.0,"[0.05, 1, 0.00833333333333325, -1.3749999999999987, False]"
"[0.05, 1, 0.00833333333333325, -1.3749999999999987, False]",0,0.0,"[0.04, 1, 0.00833333333333325, -1.3541666666666654, False]"
"[0.04, 1, 0.00833333333333325, -1.3541666666666654, False]",2,0.0,"[0.06, 1, 0.00833333333333325, -1.8541666666666654, False]"
"[0.06, 1, 0.00833333333333325, -1.8541666666666654, False]",0,0.0,"[0.04, 1, 0.00833333333333325, -1.8333333333333321, False]"
"[0.04, 1, 0.00833333333333325, -1.8333333333333321, False]",2,0.0,"[0.05, 1, 0.00833333333333325, -2.333333333333332, False]"
"[0.05, 1, 0.00833333333333325, -2.333333333333332, False]",0,0.0,"[0.04, 1, 0.00833333333333325, -2.3124999999999987, False]"
"[0.04, 1, 0.00833333333333325, -2.3124999999999987, False]",1,0.0,"[0.05, 1, 0.00833333333333325, -2.333333333333332, False]"
"[0.05, 1, 0.00833333333333325, -2.333333333333332, False]",1,0.0,"[0.05, 1, 0.00833333333333325, -2.3541666666666656, False]"
"[0.05, 1, 0.00833333333333325, -2.3541666666666656, False]",0,0.0,"[0.04, 1, 0.00833333333333325, -2.333333333333332, False]"
"[0.04, 1, 0.00833333333333325, -2.333333333333332, False]",0,0.0,"[0.04, 1, 0.00833333333333325, -2.3124999999999987, False]"
"[0.04, 1, 0.00833333333333325, -2.3124999999999987, False]",2,0.0,"[0.05, 1, 0.00833333333333325, -2.8124999999999987, False]"
"[0.05, 1, 0.00833333333333325, -2.8124999999999987, False]",0,0.0,"[0.04, 1, 0.00833333333333325, -2.791666666666665, False]"
"[0.04, 1, 0.00833333333333325, -2.791666666666665, False]",0,0.0,"[0.04, 1, 0.00833333333333325, -2.7708333333333317, False]"
